cache_key,title,author,found,status,isbn,isbn_type,matched_title,matched_author,google_id
ronja raubertochter|astrid lindgren,Ronja Räubertochter,Astrid Lindgren,true,found,9783486808179,ISBN_13,"Astrid Lindgren, Ronja Räubertochter",Sonja Müller-Schamell,,,https://books.google.com/books/content?id=I0xvSQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,I0xvSQAACAAJ
madita|astrid lindgren,Madita,Astrid Lindgren,true,found,9783789141690,ISBN_13,Astrid-Lindgren-Edition : die schönsten Romane und Erzählungen für Kinder. 8. Madita,Astrid Lindgren,,,,FFaRDAEACAAJ
die tribute von panem band 01 todliche spiele|suzanne collins,Die Tribute von Panem - Band 01 - Tödliche Spiele,Suzanne Collins,false,not_found,,,,,,,,
der elefantentempel|katja brandis,Der Elefantentempel,Katja Brandis,true,found,9783401811048,ISBN_13,Der Elefantentempel,Katja Brandis,Juvenile Fiction,"Ein Sommer in Thailand zum Träumen schön. Ein Sommer voller Höhen und Tiefen. Ricarda hat ganz besondere Pläne für die Sommerferien: eine Reise nach Thailand in ein Elefantencamp mit ihrer besten Freundin Sophia. Eigentlich sollte es die schönste Zeit ihres Lebens werden, doch als die beiden angekommen sind, fliegen s...",https://books.google.com/books/content?id=pfohEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,pfohEQAAQBAJ
die drei band 153 und das fussballphantom|marco sonnleitner,Die drei ??? - Band 153 - Und das Fussballphantom,Marco Sonnleitner,false,not_found,,,,,,,,
magic girls die grosse prufung|marliese arold,Magic Girls - Die grosse Prüfung,Marliese Arold,false,not_found,,,,,,,,
als opa alles auf den kopf stellte|marianne musgrove,Als Opa alles auf den Kopf stellte,Marianne Musgrove,true,found,9783407627902,ISBN_13,"""Als Opa alles auf den Kopf stellte"" im Unterricht",Gerald Merkel,,,,k-WtpwAACAAJ
eragon band 003 die weisheit des feuers|christopher paolini,ERAGON - Band 003 - Die Weisheit des Feuers,Christopher Paolini,false,not_found,,,,,,,,
ferien im schrank|annette roeder,Ferien im Schrank,Annette Roeder,true,found,9783551316479,ISBN_13,Meine nicht ganz normale Familie 1: Ferien im Schrank,Annette Roeder,Juvenile Fiction,"Was macht man, wenn die eigenen vier Wände schrabbelig, die Möbel unbequem, das Klo dauerverstopft und das Geld knapp ist? Man zieht für ein paar Wochen ins Möbelparadies – so wie Anton und seine Familie. Bei Couch & Co gibt es schließlich genügend Zimmer, die nur darauf warten, dass mal jemand in ihnen wohnt!",https://books.google.com/books/content?id=Ejg5DwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Ejg5DwAAQBAJ
emilys ruckkehr|katja kessler,Emilys Rückkehr,Katja Kessler,false,not_found,,,,,,,,
aufregung um knuffel|berit bach,Aufregung um Knuffel,Berit Bach,true,found,9783760749808,ISBN_13,Lotta & Knuffel,Berit Bach,,,https://books.google.com/books/content?id=9XTJQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,9XTJQgAACAAJ
